fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,s00_000_stack,cheap_subset_stack,2158640,6095643.0,4144940.6339878957,4203448.0,0.01391889848812311
rw_02,s00_000_stack,cheap_subset_stack,2182840,6223295.5,3325649.4159327648,3418647.0,0.027203037946660014
rw_03,s00_000_stack,cheap_subset_stack,2230272,4993164.5,2879196.5752661433,2903734.5,0.00845047118937925
rw_04,s00_000_stack,cheap_subset_stack,2220592,6119998.5,4334186.185092547,4382271.5,0.010972691880786756
rw_05,s00_000_stack,cheap_subset_stack,2236080,4602840.0,2469497.7461269596,2486787.5,0.0069526462848314985
rw_01,s00_000_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2158640,6095643.0,4144710.4523878423,4203448.0,0.013973658675486833
rw_02,s00_000_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2182840,6223295.5,3326708.07141047,3418647.0,0.02689336705121348
rw_03,s00_000_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2230272,4993164.5,2878745.774868056,2903734.5,0.008605719679930735
rw_04,s00_000_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2220592,6119998.5,4333343.080822305,4382271.5,0.011165081665454824
rw_05,s00_000_fixed_risk_cons_s100_w0p25,cheap_fixed_blend,2236080,4602840.0,2469377.23545031,2486787.5,0.007001106668619639
rw_01,s00_000_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2158640,6095643.0,4144719.916521524,4203448.0,0.01397140715871259
rw_02,s00_000_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2182840,6223295.5,3326112.027406341,3418647.0,0.027067717899408428
rw_03,s00_000_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2230272,4993164.5,2878844.3075306793,2903734.5,0.008571786597335485
rw_04,s00_000_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2220592,6119998.5,4333577.394950175,4382271.5,0.011111613018459754
rw_05,s00_000_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2236080,4602840.0,2469411.121141706,2486787.5,0.006987480377110611
rw_01,s00_000_fixed_risk_cons_s100_w0p75,cheap_fixed_blend,2158640,6095643.0,4144796.643721542,4203448.0,0.013953153762924608
