candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
strong_oof_ridge_stack_prediction_s0_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725068.369247668,1749872.125,0.01385692112377368,0.007882400717165727,0.008706709830705166,0.01417461047465518
strong_oof_ridge_stack,strong_stack,1102843,2754542.84375,1725068.369247668,1749872.125,0.01385692112377368,0.007882400717165727,0.008706709830705166,0.01417461047465518
strong_oof_ridge_stack_prediction_s0p02_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725165.4157753193,1749872.125,0.013791194425013021,0.0078097060079529435,0.008529438861975677,0.014119151263513374
fixed_blend_0_w0p75_fixed_blend,fixed_blend,1102843,2754542.84375,1725187.1859883843,1749872.125,0.013769619954072354,0.007760045395953763,0.008482111502686615,0.014106710232678066
strong_oof_ridge_stack_prediction_tb100_min20000_p10000_regime_scaled,regime_scaled,1102843,2754542.84375,1725296.056739256,1749872.125,0.013738589543090308,0.00787241151759932,0.008746926609674358,0.014044493828795579
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,1102843,2754542.84375,1725346.6573057347,1749872.125,0.013628518753186247,0.007192004735165791,0.008673076584303102,0.014015577106393007
aggressive_rls_prediction,strong_base,1102843,2754542.84375,1725424.1169190228,1749872.125,0.013593086944831478,0.00725262994154241,0.008640647598952248,0.01397131123565798
aggressive_rls_prediction_s0_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725424.1169190228,1749872.125,0.013593086944831478,0.00725262994154241,0.008640647598952248,0.01397131123565798
aggressive_rls_prediction_s0p02_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725482.4229024933,1749872.125,0.01354673022786026,0.007148167755405832,0.008571215971329251,0.013937991096067526
strong_oof_ridge_stack_prediction_s0p05_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725488.9295242382,1749872.125,0.013600667093710151,0.007680020468773807,0.008241253306940572,0.013934272754794419
aggressive_rls_prediction_tb100_min20000_p10000_regime_scaled,regime_scaled,1102843,2754542.84375,1725507.4132412085,1749872.125,0.013554681098286525,0.00724416647310866,0.008662053248660559,0.013923709858965516
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual,residual_correction,1102843,2754542.84375,1725557.6442547005,1749872.125,0.013495270496972855,0.007131554116296068,0.008655389603488554,0.013895004325130023
aggressive_rls_prediction_residual,residual_correction,1102843,2754542.84375,1725572.9408956966,1749872.125,0.013489586454862002,0.007091841798043896,0.008625251736813007,0.013886262748658451
strong_oof_ridge_stack_prediction_residual,residual_correction,1102843,2754542.84375,1725640.3243996764,1749872.125,0.013523255266205769,0.007794810270152164,0.008241294485316136,0.01384775507543079
aggressive_rls_prediction_s0p05_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725777.5764786936,1749872.125,0.01337013852951272,0.006989730222113688,0.008384136059304246,0.013769319584599038
conservative_rls_prediction,strong_base,1102843,2754542.84375,1725854.047056468,1749872.125,0.01335721160001666,0.007469443930131048,0.007918240463278261,0.01372561891831503
conservative_rls_prediction_s0_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725854.047056468,1749872.125,0.01335721160001666,0.007469443930131048,0.007918240463278261,0.01372561891831503
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,1102843,2754542.84375,1725909.6345172226,1749872.125,0.013311034632438257,0.00696231870384989,0.008397489320882058,0.01369385233379683
conservative_rls_prediction_s0p02_risk_shrink,risk_shrinkage,1102843,2754542.84375,1725935.3479047157,1749872.125,0.013299809762683478,0.007363071441875979,0.007873596884037335,0.013679157895771565
conservative_rls_prediction_tb100_min20000_p10000_regime_scaled,regime_scaled,1102843,2754542.84375,1725941.723432501,1749872.125,0.013316464683068973,0.007455990867675677,0.007922966171895788,0.013675514470806838
gateway_risk_aggressive_rls_abs_pred_s100_prediction_residual,residual_correction,1102843,2754542.84375,1725973.7869459435,1749872.125,0.013268415569575209,0.00708333381713111,0.008600437065057826,0.013657191124212265
strong_oof_ridge_stack_prediction_s0p1_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726158.2312523322,1749872.125,0.013219684389166209,0.007464529192963809,0.007788108177519254,0.013551786675650823
conservative_rls_prediction_residual,residual_correction,1102843,2754542.84375,1726204.1914881354,1749872.125,0.013130176819224616,0.007245521328556159,0.007831228349091703,0.013525521764548687
conservative_rls_prediction_s0p05_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726241.3082546531,1749872.125,0.01311794086114355,0.007195732577715552,0.007721458917603082,0.013504310633753791
aggressive_rls_prediction_s0p1_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726433.4852699642,1749872.125,0.012995293917608054,0.0067496535954165715,0.00802288939098682,0.013394487171475955
baseline_prediction_tb100_min20000_p10000_regime_scaled,regime_scaled,1102843,2754542.84375,1726474.5441554321,1749872.125,0.012983404703997193,0.006995888751357815,0.007890349290648241,0.01337102323666528
gateway_risk_conservative_rls_abs_pred_s25_prediction_residual,residual_correction,1102843,2754542.84375,1726628.1384435832,1749872.125,0.012896966079510875,0.0071251873929703,0.00810570006964971,0.013283248658193747
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,1102843,2754542.84375,1726751.4409167608,1749872.125,0.01285088962120926,0.007088847661528841,0.007614108869160168,0.013212784953208656
baseline_prediction,strong_base,1102843,2754542.84375,1726812.3138058388,1749872.125,0.012741484411549408,0.006497854955427762,0.007915120591351304,0.013177997903224603
baseline_prediction_s0_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726812.3138058388,1749872.125,0.012741484411549408,0.006497854955427762,0.007915120591351304,0.013177997903224603
conservative_rls_prediction_s0p1_risk_shrink,risk_shrinkage,1102843,2754542.84375,1726890.667903419,1749872.125,0.012746042317643447,0.0069365966518676325,0.007409934822786677,0.013133220861256456
tabm_prediction_residual,residual_correction,1102843,2754542.84375,1726929.836186138,1749872.125,0.01266931185969018,0.006493137387888814,0.007995780469904802,0.013110837349821769
baseline_prediction_s0p02_risk_shrink,risk_shrinkage,1102843,2754542.84375,1727131.70782536,1749872.125,0.012553437165724657,0.006341833167773259,0.007769136537411384,0.01299547369762244
baseline_prediction_residual,residual_correction,1102843,2754542.84375,1727137.3395251278,1749872.125,0.01255332903846309,0.006445885628314385,0.00795641111470949,0.012992255348299953
tabm_prediction,strong_base,1102843,2754542.84375,1727356.421875,1749872.125,0.012454843521118164,0.0065721869468688965,0.007528406456595564,0.01286705628561291
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,1102843,2754542.84375,1727645.8374042336,1749872.125,0.012332207477785984,0.006788037638212785,0.007979631710597573,0.012701663897735638
baseline_prediction_s0p05_risk_shrink,risk_shrinkage,1102843,2754542.84375,1727673.243421224,1749872.125,0.012243643284792305,0.0061353784788583665,0.007521477294927119,0.012686002172173638
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,1102843,2754542.84375,1728280.0569080752,1749872.125,0.011990157642537923,0.006493295548813283,0.006932635199138719,0.01233922626884798
tree_prediction_residual,residual_correction,1102843,2754542.84375,1728409.256428653,1749872.125,0.011948847628154291,0.006454310351913017,0.008125216709061734,0.012265392576241596
baseline_prediction_s0p1_risk_shrink,risk_shrinkage,1102843,2754542.84375,1728554.0255741498,1749872.125,0.011747952275472961,0.00585186415634098,0.007123248298847784,0.012182661304951159
xgboost_prediction_residual,residual_correction,1102843,2754542.84375,1728725.4070046914,1749872.125,0.01173606796243618,0.00567165288088578,0.008277590679248801,0.012084721902355322
lightgbm_prediction_residual,residual_correction,1102843,2754542.84375,1728780.3579438608,1749872.125,0.011712821487915859,0.006000979275206819,0.008030699469759017,0.01205331907103735
tabm_s23_aux8_tabm_prediction,strong_base,1102843,2754542.84375,1729391.15625,1749872.125,0.011325716972351074,0.007212042808532715,0.004446186085969084,0.011704265961719917
tabm_s23_aux8_tabm_prediction_residual,residual_correction,1102843,2754542.84375,1729413.0859910857,1749872.125,0.011296669116099523,0.006867537896504294,0.005641940189300066,0.01169173376535404
tabm_s17_tabm_prediction,strong_base,1102843,2754542.84375,1730814.125,1749872.125,0.010743987560272217,0.007795929908752441,0.0035789527048908573,0.010891081541172576
tabm_s17_tabm_prediction_residual,residual_correction,1102843,2754542.84375,1731130.4595843924,1749872.125,0.010565210904394684,0.007841314692863421,0.0034029223699895846,0.010710305711971735
tree_prediction,strong_base,1102843,2754542.84375,1734307.216309513,1749872.125,0.008708765331489964,0.004427427320228827,0.006526732596984727,0.008894883499265482
xgboost_prediction,strong_base,1102843,2754542.84375,1734730.556892673,1749872.125,0.008395074035624738,0.0032886718908836654,0.006742083409643198,0.008652956916681553
lightgbm_prediction,strong_base,1102843,2754542.84375,1734774.489223041,1749872.125,0.008378369334635627,0.003473599015617279,0.006437463592793354,0.008627850893366817
ridge_calibrated_prediction_residual,residual_correction,1102843,2754542.84375,1737020.6685448969,1749872.125,0.007125947159488355,0.0029253052215300057,0.005241656388466398,0.007344226056005709
ridge_calibrated_prediction,strong_base,1102843,2754542.84375,1742744.7823112227,1749872.125,0.004118324576186061,0.0028175423820219203,0.0007771709048239755,0.004073064875398935
