candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153427.702533282,17394888.5,0.013493023845074559,0.0069636285976644174,0.007890007983980504,0.013881135108553155
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153431.223916337,17394888.5,0.013492564362414371,0.0069636285976644174,0.00788685503158965,0.013880932670747637
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153434.188160665,17394888.5,0.013489127483102336,0.006991314618639333,0.007842604105740694,0.013880762261818114
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_disagreement_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153437.432400208,17394888.5,0.013491986602733541,0.007008029485261802,0.007837671618750125,0.013880575756481162
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_or_disagreement_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153505.0375645,17394888.5,0.013487460856076928,0.007005084614943091,0.007830303924575002,0.013876689260497344
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_or_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153511.296235323,17394888.5,0.013484006010958805,0.006988369748320622,0.007834050724018306,0.013876329461075754
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153519.623538543,17394888.5,0.013489945693950877,0.00701220579037487,0.007813765449975403,0.013875850739799689
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153520.264458127,17394888.5,0.013486849068532546,0.006957049611863497,0.007879195591655317,0.013875813894516975
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153531.80808572,17394888.5,0.01348880019025247,0.00701220579037487,0.007807564045791513,0.013875150272695258
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153571.113381933,17394888.5,0.013484994927753324,0.006966080432932231,0.007875770186626831,0.013872890683838901
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153608.916160375,17394888.5,0.01348367871810896,0.0070092609200561595,0.00779899145252516,0.013870717471953009
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11028424,28034941.5,17153676.69955583,17394888.5,0.013479250400755904,0.006939194221186384,0.007893941432895383,0.013866820729789175
aggressive_rls_prediction,strong_base,11028424,28034941.5,17153690.124160565,17394888.5,0.013480113235731173,0.0069705589820303615,0.007879439817765902,0.013866048974066958
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153709.668947738,17394888.5,0.013477538029859537,0.006976831306367393,0.007858879049707146,0.013864925380364657
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_disagreement_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153800.61950004,17394888.5,0.013471359640147096,0.006977287303274182,0.007840723363659728,0.013859696801158505
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_disagreement_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153802.96288804,17394888.5,0.01346992986888267,0.006976356210193768,0.007830764208803551,0.01385956208411221
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11028424,28034941.5,17153803.110892326,17394888.5,0.01347583894946638,0.0070268690845113335,0.007793271310625202,0.013859553575619299
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153803.29270282,17394888.5,0.013467508288631658,0.006985796114004406,0.007815835756646343,0.013859543123669882
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_disagreement_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153809.089049898,17394888.5,0.01347010259781345,0.006994288055117259,0.007823685018974805,0.013859209902386094
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_abs_base_q0p9_residual_tail,residual_tail,11028424,28034941.5,17153814.552111633,17394888.5,0.01346720782295745,0.006985089964014035,0.007817018333378762,0.013858895841060814
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_and_abs_q0p9_residual_tail,residual_tail,11028424,28034941.5,17153844.062437367,17394888.5,0.01346883344742993,0.006971811106806336,0.007831727514305943,0.013857199346959503
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_disagreement_q0p9_residual_tail,residual_tail,11028424,28034941.5,17153846.441482678,17394888.5,0.013466953841369556,0.006973301248138997,0.007828412186104087,0.01385706258004027
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_or_disagreement_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153889.293169938,17394888.5,0.01346567478524241,0.006970708317473262,0.007833129994444413,0.013854599115715072
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153934.505336598,17394888.5,0.013467069481425797,0.007012951008901425,0.007781865163984529,0.013851999951790539
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_abs_base_q0p99_residual_tail,residual_tail,11028424,28034941.5,17153937.90608826,17394888.5,0.013462062519097161,0.006942932291765236,0.007852383475114522,0.013851804448861027
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_disagreement_q0p9_residual_tail,residual_tail,11028424,28034941.5,17153947.56062241,17394888.5,0.013461544450741348,0.006988376907770433,0.007824026484413656,0.01385124942753102
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_q0p9_residual_tail,residual_tail,11028424,28034941.5,17153974.6584182,17394888.5,0.013461549449324539,0.0069855368415735475,0.007811298709554096,0.013849691625318461
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_abs_base_q0p9_residual_tail,residual_tail,11028424,28034941.5,17153977.03192185,17394888.5,0.013459537246552845,0.006952938517606255,0.00783436088673701,0.013849555176979278
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_or_disagreement_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153982.275419965,17394888.5,0.013459128231615703,0.006973262046535922,0.00781444129167439,0.013849253737960754
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_abs_base_q0p95_residual_tail,residual_tail,11028424,28034941.5,17153997.968211934,17394888.5,0.013458279753006442,0.006946315752540788,0.007838916306012226,0.013848351588345409
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_or_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17154020.993139785,17394888.5,0.01345595077763293,0.00699110363508304,0.0078032907060085815,0.013847027927785471
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_or_abs_q0p99_residual_tail,residual_tail,11028424,28034941.5,17154026.946630046,17394888.5,0.013456347225215382,0.006936353305964316,0.007844737412042427,0.013846685672630477
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_or_disagreement_q0p95_residual_tail,residual_tail,11028424,28034941.5,17154027.4425864,17394888.5,0.013457054094904919,0.006991333334066319,0.0078064824851198315,0.013846657161016074
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_or_disagreement_q0p9_residual_tail,residual_tail,11028424,28034941.5,17154060.249201495,17394888.5,0.013454001222993983,0.0069713050093401785,0.007806593015638478,0.013844771169329695
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_or_abs_q0p9_residual_tail,residual_tail,11028424,28034941.5,17154068.30520654,17394888.5,0.013453265262098002,0.006991999042953556,0.007801152622745942,0.013844308044484444
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_and_abs_q0p9_residual_tail,residual_tail,11028424,28034941.5,17154087.385946773,17394888.5,0.013459521131812324,0.007013864774709555,0.007771887477096611,0.013843211127983146
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_or_abs_q0p9_residual_tail,residual_tail,11028424,28034941.5,17154107.627902687,17394888.5,0.013452253248447454,0.006966664252373467,0.007813938056458507,0.013842047455338014
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual_weight_or_abs_q0p95_residual_tail,residual_tail,11028424,28034941.5,17154136.523777742,17394888.5,0.013450822855112676,0.0069570666259759495,0.007822033086997835,0.013840386284870831
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p95_residual_tail,residual_tail,11028424,28034941.5,17154152.205773562,17394888.5,0.013455511970427048,0.007018258529979948,0.007769339140054294,0.01383948475590624
strong_oof_ridge_stack,strong_stack,11028424,28034941.5,17154154.465244688,17394888.5,0.013470368531995658,0.007038545082648673,0.007951890594088736,0.013839354863085851
gateway_risk_aggressive_rls_abs_pred_s25_prediction_residual,residual_correction,11028424,28034941.5,17154203.4555943,17394888.5,0.013446294819954185,0.006982579095572983,0.007790837210911923,0.013836538498404272
conservative_rls_prediction,strong_base,11028424,28034941.5,17154204.626609083,17394888.5,0.013455630541853902,0.007030935184887621,0.007778398224077008,0.013836471178928056
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_or_disagreement_q0p9_residual_tail,residual_tail,11028424,28034941.5,17154211.686340436,17394888.5,0.01344533588451775,0.006984458642210867,0.007802007117461314,0.013836065328016511
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual_weight_q0p9_residual_tail,residual_tail,11028424,28034941.5,17154341.139041677,17394888.5,0.01344557857095292,0.007020773853649187,0.007756024211938582,0.013828623331406997
gateway_risk_conservative_rls_abs_pred_s100_prediction_residual,residual_correction,11028424,28034941.5,17154771.494233217,17394888.5,0.01340949166298846,0.006955219360156639,0.007782092245394351,0.013803883006596074
