fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,s00_00_stack,cheap_subset_stack,2158640,6095643.0,4144940.6339878957,4203448.0,0.01391889848812311
rw_02,s00_00_stack,cheap_subset_stack,2182840,6223295.5,3325649.4159327648,3418647.0,0.027203037946660014
rw_03,s00_00_stack,cheap_subset_stack,2230272,4993164.5,2879196.5752661433,2903734.5,0.00845047118937925
rw_04,s00_00_stack,cheap_subset_stack,2220592,6119998.5,4334186.185092547,4382271.5,0.010972691880786756
rw_05,s00_00_stack,cheap_subset_stack,2236080,4602840.0,2469497.7461269596,2486787.5,0.0069526462848314985
rw_01,s00_00_fixed_risk_cons_s100_w0p35,cheap_fixed_blend,2158640,6095643.0,4144706.1664733547,4203448.0,0.013974678294258691
rw_02,s00_00_fixed_risk_cons_s100_w0p35,cheap_fixed_blend,2182840,6223295.5,3326440.474747431,3418647.0,0.026971642656457018
rw_03,s00_00_fixed_risk_cons_s100_w0p35,cheap_fixed_blend,2230272,4993164.5,2878778.9798366968,2903734.5,0.00859428441660326
rw_04,s00_00_fixed_risk_cons_s100_w0p35,cheap_fixed_blend,2220592,6119998.5,4333431.199997988,4382271.5,0.011144973560404114
rw_05,s00_00_fixed_risk_cons_s100_w0p35,cheap_fixed_blend,2236080,4602840.0,2469390.03558277,2486787.5,0.006995959412386399
rw_01,s00_00_fixed_risk_cons_s100_w0p4,cheap_fixed_blend,2158640,6095643.0,4144708.059300091,4203448.0,0.013974227990903865
rw_02,s00_00_fixed_risk_cons_s100_w0p4,cheap_fixed_blend,2182840,6223295.5,3326321.2659466052,3418647.0,0.027006512826096007
rw_03,s00_00_fixed_risk_cons_s100_w0p4,cheap_fixed_blend,2230272,4993164.5,2878798.686369221,2903734.5,0.008587497800084276
rw_04,s00_00_fixed_risk_cons_s100_w0p4,cheap_fixed_blend,2220592,6119998.5,4333478.062823561,4382271.5,0.011134279831005234
rw_05,s00_00_fixed_risk_cons_s100_w0p4,cheap_fixed_blend,2236080,4602840.0,2469396.8127210494,2486787.5,0.006993234154084593
rw_01,s00_00_fixed_risk_cons_s100_w0p45,cheap_fixed_blend,2158640,6095643.0,4144712.642649481,4203448.0,0.013973137612388387
rw_02,s00_00_fixed_risk_cons_s100_w0p45,cheap_fixed_blend,2182840,6223295.5,3326211.783499575,3418647.0,0.027038537907079885
rw_03,s00_00_fixed_risk_cons_s100_w0p45,cheap_fixed_blend,2230272,4993164.5,2878820.4622672154,2903734.5,0.00857999852699498
rw_04,s00_00_fixed_risk_cons_s100_w0p45,cheap_fixed_blend,2220592,6119998.5,4333526.794474291,4382271.5,0.011123159650356929
rw_05,s00_00_fixed_risk_cons_s100_w0p45,cheap_fixed_blend,2236080,4602840.0,2469403.8412406947,2486787.5,0.006990407808992627
rw_01,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2158640,6095643.0,4144719.916521524,4203448.0,0.01397140715871259
rw_02,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2182840,6223295.5,3326112.027406341,3418647.0,0.027067717899408428
rw_03,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2230272,4993164.5,2878844.3075306793,2903734.5,0.008571786597335485
rw_04,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2220592,6119998.5,4333577.394950175,4382271.5,0.011111613018459754
rw_05,s00_00_fixed_risk_cons_s100_w0p5,cheap_fixed_blend,2236080,4602840.0,2469411.121141706,2486787.5,0.006987480377110611
rw_01,s00_00_fixed_risk_cons_s100_w0p55,cheap_fixed_blend,2158640,6095643.0,4144729.880916221,4203448.0,0.01396903662987603
rw_02,s00_00_fixed_risk_cons_s100_w0p55,cheap_fixed_blend,2182840,6223295.5,3326021.9976669024,3418647.0,0.02709405280308197
rw_03,s00_00_fixed_risk_cons_s100_w0p55,cheap_fixed_blend,2230272,4993164.5,2878870.2221596125,2903734.5,0.008562862011105898
rw_04,s00_00_fixed_risk_cons_s100_w0p55,cheap_fixed_blend,2220592,6119998.5,4333629.864251214,4382271.5,0.011099639935313488
rw_05,s00_00_fixed_risk_cons_s100_w0p55,cheap_fixed_blend,2236080,4602840.0,2469418.652424084,2486787.5,0.006984451858438212
rw_01,s00_00_fixed_risk_cons_s100_w0p6,cheap_fixed_blend,2158640,6095643.0,4144742.535833571,4203448.0,0.01396602602587893
rw_02,s00_00_fixed_risk_cons_s100_w0p6,cheap_fixed_blend,2182840,6223295.5,3325941.6942812596,3418647.0,0.027117542618100177
rw_03,s00_00_fixed_risk_cons_s100_w0p6,cheap_fixed_blend,2230272,4993164.5,2878898.2061540154,2903734.5,0.008553224768306
rw_04,s00_00_fixed_risk_cons_s100_w0p6,cheap_fixed_blend,2220592,6119998.5,4333684.202377408,4382271.5,0.01108724040091813
rw_05,s00_00_fixed_risk_cons_s100_w0p6,cheap_fixed_blend,2236080,4602840.0,2469426.435087828,2486787.5,0.0069813222529757635
rw_01,s00_00_fixed_risk_cons_s100_w0p65,cheap_fixed_blend,2158640,6095643.0,4144757.8812735747,4203448.0,0.0139623753467214
rw_02,s00_00_fixed_risk_cons_s100_w0p65,cheap_fixed_blend,2182840,6223295.5,3325871.1172494125,3418647.0,0.027138187344463383
rw_03,s00_00_fixed_risk_cons_s100_w0p65,cheap_fixed_blend,2230272,4993164.5,2878928.259513888,2903734.5,0.00854287486893579
rw_04,s00_00_fixed_risk_cons_s100_w0p65,cheap_fixed_blend,2220592,6119998.5,4333740.409328758,4382271.5,0.01107441441527346
rw_05,s00_00_fixed_risk_cons_s100_w0p65,cheap_fixed_blend,2236080,4602840.0,2469434.4691329375,2486787.5,0.006978091560723376
rw_01,s00_00_wf_risk_cons_s100,cheap_walk_forward_blend,2158640,6095643.0,4144719.916521524,4203448.0,0.01397140715871259
rw_02,s00_00_wf_risk_cons_s100,cheap_walk_forward_blend,2182840,6223295.5,3326465.9268537294,3418647.0,0.026964197574733673
rw_03,s00_00_wf_risk_cons_s100,cheap_walk_forward_blend,2230272,4993164.5,2879067.126590085,2903734.5,0.008495051255517638
rw_04,s00_00_wf_risk_cons_s100,cheap_walk_forward_blend,2220592,6119998.5,4333812.587152397,4382271.5,0.011057944001781395
rw_05,s00_00_wf_risk_cons_s100,cheap_walk_forward_blend,2236080,4602840.0,2469415.630956949,2486787.5,0.006985666866610396
rw_01,s00_00_fixed_risk_cons_s25_w0p35,cheap_fixed_blend,2158640,6095643.0,4144778.320051687,4203448.0,0.013957512962766039
rw_02,s00_00_fixed_risk_cons_s25_w0p35,cheap_fixed_blend,2182840,6223295.5,3326576.9932274357,3418647.0,0.026931709173999008
rw_03,s00_00_fixed_risk_cons_s25_w0p35,cheap_fixed_blend,2230272,4993164.5,2878790.1708672154,2903734.5,0.008590430403600857
rw_04,s00_00_fixed_risk_cons_s25_w0p35,cheap_fixed_blend,2220592,6119998.5,4333536.191672991,4382271.5,0.011121015283286018
rw_05,s00_00_fixed_risk_cons_s25_w0p35,cheap_fixed_blend,2236080,4602840.0,2469366.2258079764,2486787.5,0.007005533923595597
rw_01,s00_00_fixed_risk_cons_s25_w0p4,cheap_fixed_blend,2158640,6095643.0,4144786.5692285136,4203448.0,0.013955550484146872
rw_02,s00_00_fixed_risk_cons_s25_w0p4,cheap_fixed_blend,2182840,6223295.5,3326450.6645880863,3418647.0,0.026968661991692566
rw_03,s00_00_fixed_risk_cons_s25_w0p4,cheap_fixed_blend,2230272,4993164.5,2878809.396288381,2903734.5,0.008583809474185466
rw_04,s00_00_fixed_risk_cons_s25_w0p4,cheap_fixed_blend,2220592,6119998.5,4333574.723816891,4382271.5,0.011112222550133777
rw_05,s00_00_fixed_risk_cons_s25_w0p4,cheap_fixed_blend,2236080,4602840.0,2469374.8202451486,2486787.5,0.007002077883555113
rw_01,s00_00_fixed_risk_cons_s25_w0p45,cheap_fixed_blend,2158640,6095643.0,4144795.5244904365,4203448.0,0.013953420027930319
rw_02,s00_00_fixed_risk_cons_s25_w0p45,cheap_fixed_blend,2182840,6223295.5,3326333.4987053634,3418647.0,0.02700293458044556
rw_03,s00_00_fixed_risk_cons_s25_w0p45,cheap_fixed_blend,2230272,4993164.5,2878830.627785492,2903734.5,0.008576497684105733
rw_04,s00_00_fixed_risk_cons_s25_w0p45,cheap_fixed_blend,2220592,6119998.5,4333615.167185776,4382271.5,0.01110299369042378
rw_05,s00_00_fixed_risk_cons_s25_w0p45,cheap_fixed_blend,2236080,4602840.0,2469383.668434061,2486787.5,0.006998519803537273
rw_01,s00_00_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,2158640,6095643.0,4144805.1858374546,4203448.0,0.013951121594116378
rw_02,s00_00_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,2182840,6223295.5,3326225.495579267,3418647.0,0.027034526940258208
rw_03,s00_00_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,2230272,4993164.5,2878853.865358549,2903734.5,0.008568495033361656
rw_04,s00_00_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,2220592,6119998.5,4333657.521779647,4382271.5,0.01109332870415558
rw_05,s00_00_fixed_risk_cons_s25_w0p5,cheap_fixed_blend,2236080,4602840.0,2469392.7703747135,2486787.5,0.006994859683542187
rw_01,s00_00_fixed_risk_cons_s25_w0p55,cheap_fixed_blend,2158640,6095643.0,4144815.5532695684,4203448.0,0.01394865518270516
rw_02,s00_00_fixed_risk_cons_s25_w0p55,cheap_fixed_blend,2182840,6223295.5,3326126.655209797,3418647.0,0.027063439071130513
rw_03,s00_00_fixed_risk_cons_s25_w0p55,cheap_fixed_blend,2230272,4993164.5,2878879.1090075523,2903734.5,0.008559801521953125
rw_04,s00_00_fixed_risk_cons_s25_w0p55,cheap_fixed_blend,2220592,6119998.5,4333701.787598503,4382271.5,0.011083227591329514
rw_05,s00_00_fixed_risk_cons_s25_w0p55,cheap_fixed_blend,2236080,4602840.0,2469402.1260671066,2486787.5,0.006991097523569412
rw_01,s00_00_fixed_risk_cons_s25_w0p6,cheap_fixed_blend,2158640,6095643.0,4144826.626786778,4203448.0,0.013946020793696445
rw_02,s00_00_fixed_risk_cons_s25_w0p6,cheap_fixed_blend,2182840,6223295.5,3326036.977596954,3418647.0,0.02708967097306214
rw_03,s00_00_fixed_risk_cons_s25_w0p6,cheap_fixed_blend,2230272,4993164.5,2878906.358732501,2903734.5,0.008550417149880252
rw_04,s00_00_fixed_risk_cons_s25_w0p6,cheap_fixed_blend,2220592,6119998.5,4333747.964642344,4382271.5,0.01107269035194558
rw_05,s00_00_fixed_risk_cons_s25_w0p6,cheap_fixed_blend,2236080,4602840.0,2469411.73551124,2486787.5,0.00698723332361928
rw_01,s00_00_fixed_risk_cons_s25_w0p65,cheap_fixed_blend,2158640,6095643.0,4144838.4063890832,4203448.0,0.013943218427090565
rw_02,s00_00_fixed_risk_cons_s25_w0p65,cheap_fixed_blend,2182840,6223295.5,3325956.462740737,3418647.0,0.027113222646053536
rw_03,s00_00_fixed_risk_cons_s25_w0p65,cheap_fixed_blend,2230272,4993164.5,2878935.6145333955,2903734.5,0.008540341917143035
rw_04,s00_00_fixed_risk_cons_s25_w0p65,cheap_fixed_blend,2220592,6119998.5,4333796.052911171,4382271.5,0.011061716986003556
rw_05,s00_00_fixed_risk_cons_s25_w0p65,cheap_fixed_blend,2236080,4602840.0,2469421.598707114,2486787.5,0.006983267083691791
rw_01,s00_00_wf_risk_cons_s25,cheap_walk_forward_blend,2158640,6095643.0,4144805.1858374546,4203448.0,0.013951121594116378
rw_02,s00_00_wf_risk_cons_s25,cheap_walk_forward_blend,2182840,6223295.5,3327717.8508884273,3418647.0,0.026597993039811585
rw_03,s00_00_wf_risk_cons_s25,cheap_walk_forward_blend,2230272,4993164.5,2879173.155745534,2903734.5,0.008458536499967861
rw_04,s00_00_wf_risk_cons_s25,cheap_walk_forward_blend,2220592,6119998.5,4333942.206950195,4382271.5,0.011028365780122229
rw_05,s00_00_wf_risk_cons_s25,cheap_walk_forward_blend,2236080,4602840.0,2469410.5257496904,2486787.5,0.006987719799262937
rw_01,s00_00_fixed_risk_aggr_s25_w0p35,cheap_fixed_blend,2158640,6095643.0,4144429.7581175934,4203448.0,0.01404043582373482
rw_02,s00_00_fixed_risk_aggr_s25_w0p35,cheap_fixed_blend,2182840,6223295.5,3326393.5836755736,3418647.0,0.026985358922528846
rw_03,s00_00_fixed_risk_aggr_s25_w0p35,cheap_fixed_blend,2230272,4993164.5,2878910.2954707863,2903734.5,0.008549061399798719
