fold,candidate,family,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
rw_01,tabm_prediction,strong_base,2158640,6095643.0,4155395.0,4203448.0,0.01143181324005127
rw_02,tabm_prediction,strong_base,2182840,6223295.5,3342635.0,3418647.0,0.02223449945449829
rw_03,tabm_prediction,strong_base,2230272,4993164.5,2875802.75,2903734.5,0.00961923599243164
rw_04,tabm_prediction,strong_base,2220592,6119998.5,4337617.5,4382271.5,0.010189712047576904
rw_05,tabm_prediction,strong_base,2236080,4602840.0,2470002.5,2486787.5,0.00674968957901001
rw_01,tree_prediction,strong_base,2158640,6095643.0,4162701.1851498033,4203448.0,0.009693664546390646
rw_02,tree_prediction,strong_base,2182840,6223295.5,3351374.168595854,3418647.0,0.019678203512718873
rw_03,tree_prediction,strong_base,2230272,4993164.5,2887753.1093600383,2903734.5,0.005503736874001963
rw_04,tree_prediction,strong_base,2220592,6119998.5,4361593.238617026,4382271.5,0.004718617133368741
rw_05,tree_prediction,strong_base,2236080,4602840.0,2475836.1080217296,2486787.5,0.004403831038345851
rw_01,xgboost_prediction,strong_base,2158640,6095643.0,4162683.375420803,4203448.0,0.009697901479736815
rw_02,xgboost_prediction,strong_base,2182840,6223295.5,3351473.1081860904,3418647.0,0.019649262358444664
rw_03,xgboost_prediction,strong_base,2230272,4993164.5,2888275.487943123,2903734.5,0.005323837994443692
rw_04,xgboost_prediction,strong_base,2220592,6119998.5,4361710.680020495,4382271.5,0.004691817925818742
rw_05,xgboost_prediction,strong_base,2236080,4602840.0,2478492.691618691,2486787.5,0.0033355517434878745
rw_01,lightgbm_prediction,strong_base,2158640,6095643.0,4163084.739857007,4203448.0,0.009602416907023237
rw_02,lightgbm_prediction,strong_base,2182840,6223295.5,3354266.910540395,3418647.0,0.01883203777974296
rw_03,lightgbm_prediction,strong_base,2230272,4993164.5,2887745.1874600607,2903734.5,0.005506465050416742
rw_04,lightgbm_prediction,strong_base,2220592,6119998.5,4360219.414291606,4382271.5,0.005032113073869082
rw_05,lightgbm_prediction,strong_base,2236080,4602840.0,2478136.1508826907,2486787.5,0.00347892576961617
rw_01,ridge_calibrated_prediction,strong_base,2158640,6095643.0,4180947.813582447,4203448.0,0.005352792854236066
rw_02,ridge_calibrated_prediction,strong_base,2182840,6223295.5,3391272.7558540874,3418647.0,0.008007332768171893
rw_03,ridge_calibrated_prediction,strong_base,2230272,4993164.5,2892246.4564347784,2903734.5,0.003956299573952604
rw_04,ridge_calibrated_prediction,strong_base,2220592,6119998.5,4369541.547625868,4382271.5,0.002904875331008694
rw_05,ridge_calibrated_prediction,strong_base,2236080,4602840.0,2477291.5202022335,2486787.5,0.003818573077822962
rw_01,baseline_prediction,strong_base,2158640,6095643.0,4155394.959890404,4203448.0,0.011431815050310212
rw_02,baseline_prediction,strong_base,2182840,6223295.5,3337101.5735574327,3418647.0,0.023853128574715998
rw_03,baseline_prediction,strong_base,2230272,4993164.5,2877391.742739083,2903734.5,0.009072026819572199
rw_04,baseline_prediction,strong_base,2220592,6119998.5,4335988.391857937,4382271.5,0.010561442425934375
rw_05,baseline_prediction,strong_base,2236080,4602840.0,2470497.5024805698,2486787.5,0.006550619029342175
rw_01,conservative_rls_prediction,strong_base,2158640,6095643.0,4150655.86765002,4203448.0,0.012559244779519085
rw_02,conservative_rls_prediction,strong_base,2182840,6223295.5,3328935.5850883964,3418647.0,0.026241789489117595
rw_03,conservative_rls_prediction,strong_base,2230272,4993164.5,2874769.761315044,2903734.5,0.009974995539349774
rw_04,conservative_rls_prediction,strong_base,2220592,6119998.5,4336215.637261675,4382271.5,0.010509586806368598
rw_05,conservative_rls_prediction,strong_base,2236080,4602840.0,2468813.7197484006,2486787.5,0.007227710550901212
rw_01,aggressive_rls_prediction,strong_base,2158640,6095643.0,4149625.0141359605,4203448.0,0.012804484762042878
rw_02,aggressive_rls_prediction,strong_base,2182840,6223295.5,3328261.921500593,3418647.0,0.02643884510433725
rw_03,aggressive_rls_prediction,strong_base,2230272,4993164.5,2875300.9618757223,2903734.5,0.00979205851095466
rw_04,aggressive_rls_prediction,strong_base,2220592,6119998.5,4336460.855501854,4382271.5,0.010453629926431063
rw_05,aggressive_rls_prediction,strong_base,2236080,4602840.0,2469086.330888488,2486787.5,0.007118086732988749
rw_01,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2158640,6095643.0,4150330.2854304737,4203448.0,0.012636700767923448
rw_02,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2182840,6223295.5,3328698.4568159236,3418647.0,0.02631115268235551
rw_03,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2230272,4993164.5,2874751.7148669534,2903734.5,0.009981210449180766
rw_04,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2220592,6119998.5,4336117.489205954,4382271.5,0.01053198342321926
rw_05,gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,2236080,4602840.0,2468823.874578262,2486787.5,0.00722362703758872
rw_01,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2158640,6095643.0,4150311.5949889803,4203448.0,0.012641147222713256
rw_02,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2182840,6223295.5,3328355.60791753,3418647.0,0.026411440573557265
rw_03,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2230272,4993164.5,2874724.3451720495,2903734.5,0.00999063613699891
rw_04,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2220592,6119998.5,4335917.064184296,4382271.5,0.010577718841861872
rw_05,gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,2236080,4602840.0,2468861.8502580086,2486787.5,0.007208356058566068
rw_01,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2158640,6095643.0,4149252.063024534,4203448.0,0.012893209806679184
rw_02,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2182840,6223295.5,3328107.030203614,3418647.0,0.026484152881647627
rw_03,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2230272,4993164.5,2875281.1314460807,2903734.5,0.009798887795671174
rw_04,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2220592,6119998.5,4336365.54206193,4382271.5,0.010475379706179844
rw_05,gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,2236080,4602840.0,2469102.673049531,2486787.5,0.007111515137690261
