candidate,family,rows,weight_sum,numerator,denominator,mean_fold_r2,min_fold_r2,std_fold_r2,global_r2
fixed_blend_0_w0p75_fixed_blend,fixed_blend,11151360,21105826.5,16170957.895514695,16427583.5,0.015428592111081918,0.011794008454948601,0.003647634306518791,0.015621628371896845
conservative_rls_prediction,strong_base,11151360,21105826.5,16171315.683922712,16427583.5,0.015464399759791326,0.012755608715007027,0.0033745704942294984,0.015599848637341429
gateway_risk_aggressive_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16173380.31166396,16427583.5,0.015260896467318675,0.012811187877500463,0.0033925700716466883,0.015474168086623385
strong_oof_ridge_stack,strong_stack,11151360,21105826.5,16173453.691688657,16427583.5,0.015266130704577496,0.011114520380402615,0.0037992839885123164,0.01546970120780966
gateway_risk_conservative_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16173756.780889355,16427583.5,0.015328136693901429,0.012703835093738403,0.0032321133654460562,0.015451251190453208
gateway_risk_aggressive_rls_abs_pred_s25_prediction,strong_base,11151360,21105826.5,16174477.401632123,16427583.5,0.015210675327053025,0.012787234531308589,0.0032679487982005145,0.015407384681251357
aggressive_rls_prediction,strong_base,11151360,21105826.5,16175163.672659885,16427583.5,0.015178827938761708,0.012778704131981011,0.003207374956782495,0.01536560915000762
gateway_risk_conservative_rls_abs_pred_s100_prediction,strong_base,11151360,21105826.5,16176910.58700815,16427583.5,0.015165234409905626,0.012461675208936374,0.0030666073030941555,0.015259268838405227
tabm_prediction,strong_base,11151360,21105826.5,16177366.25,16427583.5,0.014935958385467529,0.012535333633422852,0.003447593313264058,0.015231531162206546
baseline_prediction,strong_base,11151360,21105826.5,16177484.326882476,16427583.5,0.014928368100077295,0.01253536523373755,0.0034529828528762235,0.01522434344147594
tabm_s23_aux8_tabm_prediction,strong_base,11151360,21105826.5,16187409.375,16427583.5,0.014376580715179443,0.011360466480255127,0.0036062210542010475,0.014620173746187293
tabm_s17_tabm_prediction,strong_base,11151360,21105826.5,16194658.875,16427583.5,0.013979458808898925,0.011289894580841064,0.0030324138532319615,0.014178873295637162
tree_prediction,strong_base,11151360,21105826.5,16329733.834305177,16427583.5,0.006117479674313286,0.0018682109832791616,0.0025363131850918335,0.005956424795821258
lightgbm_prediction,strong_base,11151360,21105826.5,16330433.944047669,16427583.5,0.006007332238840113,0.000031214350128649926,0.0033981872623339176,0.005913806857370751
ridge_calibrated_prediction,strong_base,11151360,21105826.5,16353377.216306066,16427583.5,0.004382562787762168,0.0030449822317777375,0.000997037515624474,0.004517175864236722
xgboost_prediction,strong_base,11151360,21105826.5,16383111.828238454,16427583.5,0.002635057297477439,-0.014776114714696309,0.009819859100471902,0.002707134117537535
